timestamp,__uom,__icon,__color,mnemonic,value,_1,severity,title,sev_alarm,mne_alarm
2020-02-17T14:01:51.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P3,77.0,1.0,,Stroke Rate - Pump 3,,BP_PMP_SPM_RATE_P3
2020-02-17T14:01:51.000+0000,,check,#adadad,BP_PMP_SPM_RATE_P4,,1.0,,Stroke Rate - Pump 4,,BP_PMP_SPM_RATE_P4
2020-02-17T14:01:52.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P1,77.0,1.0,,Stroke Rate - Pump 1,,BP_PMP_SPM_RATE_P1
2020-02-17T14:01:52.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P2,77.0,1.0,,Stroke Rate - Pump 2,,BP_PMP_SPM_RATE_P2
2020-02-17T14:01:52.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P3,77.0,1.0,,Stroke Rate - Pump 3,,BP_PMP_SPM_RATE_P3
2020-02-17T14:01:52.000+0000,,check,#adadad,BP_PMP_SPM_RATE_P4,,1.0,,Stroke Rate - Pump 4,,BP_PMP_SPM_RATE_P4
2020-02-17T14:01:53.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P1,77.0,1.0,,Stroke Rate - Pump 1,,BP_PMP_SPM_RATE_P1
2020-02-17T14:01:53.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P2,77.0,1.0,,Stroke Rate - Pump 2,,BP_PMP_SPM_RATE_P2
2020-02-17T14:01:53.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P3,77.0,1.0,,Stroke Rate - Pump 3,,BP_PMP_SPM_RATE_P3
2020-02-17T14:01:53.000+0000,,check,#adadad,BP_PMP_SPM_RATE_P4,,1.0,,Stroke Rate - Pump 4,,BP_PMP_SPM_RATE_P4
2020-02-17T14:01:54.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P1,77.0,1.0,,Stroke Rate - Pump 1,,BP_PMP_SPM_RATE_P1
2020-02-17T14:01:54.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P2,77.0,1.0,,Stroke Rate - Pump 2,,BP_PMP_SPM_RATE_P2
2020-02-17T14:01:54.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P3,77.0,1.0,,Stroke Rate - Pump 3,,BP_PMP_SPM_RATE_P3
2020-02-17T14:01:54.000+0000,,check,#adadad,BP_PMP_SPM_RATE_P4,,1.0,,Stroke Rate - Pump 4,,BP_PMP_SPM_RATE_P4
2020-02-17T14:01:55.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P1,77.0,1.0,,Stroke Rate - Pump 1,,BP_PMP_SPM_RATE_P1
2020-02-17T14:01:55.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P2,77.0,1.0,,Stroke Rate - Pump 2,,BP_PMP_SPM_RATE_P2
2020-02-17T14:01:55.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P3,77.0,1.0,,Stroke Rate - Pump 3,,BP_PMP_SPM_RATE_P3
2020-02-17T14:01:55.000+0000,,check,#adadad,BP_PMP_SPM_RATE_P4,,1.0,,Stroke Rate - Pump 4,,BP_PMP_SPM_RATE_P4
2020-02-17T14:01:56.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P1,77.0,1.0,,Stroke Rate - Pump 1,,BP_PMP_SPM_RATE_P1
2020-02-17T14:01:56.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P2,77.0,1.0,,Stroke Rate - Pump 2,,BP_PMP_SPM_RATE_P2
2020-02-17T14:01:56.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P3,77.0,1.0,,Stroke Rate - Pump 3,,BP_PMP_SPM_RATE_P3
2020-02-17T14:01:56.000+0000,,check,#adadad,BP_PMP_SPM_RATE_P4,,1.0,,Stroke Rate - Pump 4,,BP_PMP_SPM_RATE_P4
2020-02-17T14:01:57.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P1,77.0,1.0,,Stroke Rate - Pump 1,,BP_PMP_SPM_RATE_P1
2020-02-17T14:01:57.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P2,77.0,1.0,,Stroke Rate - Pump 2,,BP_PMP_SPM_RATE_P2
2020-02-17T14:01:57.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P3,77.0,1.0,,Stroke Rate - Pump 3,,BP_PMP_SPM_RATE_P3
2020-02-17T14:01:57.000+0000,,check,#adadad,BP_PMP_SPM_RATE_P4,,1.0,,Stroke Rate - Pump 4,,BP_PMP_SPM_RATE_P4
2020-02-17T14:01:58.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P1,77.0,1.0,,Stroke Rate - Pump 1,,BP_PMP_SPM_RATE_P1
2020-02-17T14:01:58.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P2,77.0,1.0,,Stroke Rate - Pump 2,,BP_PMP_SPM_RATE_P2
2020-02-17T14:01:58.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P3,77.0,1.0,,Stroke Rate - Pump 3,,BP_PMP_SPM_RATE_P3
2020-02-17T14:01:58.000+0000,,check,#adadad,BP_PMP_SPM_RATE_P4,,1.0,,Stroke Rate - Pump 4,,BP_PMP_SPM_RATE_P4
2020-02-17T14:01:59.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P1,77.0,1.0,,Stroke Rate - Pump 1,,BP_PMP_SPM_RATE_P1
2020-02-17T14:01:59.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P2,77.0,1.0,,Stroke Rate - Pump 2,,BP_PMP_SPM_RATE_P2
2020-02-17T14:01:59.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P3,77.0,1.0,,Stroke Rate - Pump 3,,BP_PMP_SPM_RATE_P3
2020-02-17T14:01:59.000+0000,,check,#adadad,BP_PMP_SPM_RATE_P4,,1.0,,Stroke Rate - Pump 4,,BP_PMP_SPM_RATE_P4
2020-02-17T14:01:41.000+0000,Pa,check,#adadad,BP_PRESS_CMT_1,0.0,1.0,,Pressure - Cement Pump #1,,BP_PRESS_CMT_1
